Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
70,5,250,13.9,1009.7,0,0,1
100,6,250,12.1,1006.2,0,0,1
200,9,10,15.7,1005.3,0,1,1
220,10,20,16.0,1005.6,0,1,1
200,9,20,16.8,1005.5,0,1,1
210,11,30,16.6,1005.9,0,1,1
200,16,30,17.3,1004.5,0,1,1
190,15,30,16.7,1003.7,0,1,1
240,12,20,15.7,1004.1,0,0,1
230,15,20,15.9,1003.7,1,0,1
240,11,100,15.5,1003.6,1,0,1
220,10,100,15.9,1003.9,1,1,1
210,10,100,16.1,1004.1,1,1,1
210,12,60,16.2,1004.3,1,1,1
210,13,10,16.4,1004.5,1,1,1
