Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday
360,2,250,13.4,1014.7,78.2,1,0,1
30,4,250,13.6,1014.8,78.3,1,0,1
30,3,250,13.3,1014.9,78.1,1,0,1
50,6,250,14.5,1014.9,72.6,1,0,1
90,4,250,13.5,1014.8,73.8,1,0,1
220,1,250,11.7,1014.9,82.8,1,0,1
110,2,250,11.4,1015.3,79.0,1,0,1
190,3,250,12.0,1016.0,86.5,1,1,1
290,4,250,14.0,1016.1,84.1,1,1,1
240,3,250,16.4,1016.3,72.2,1,1,1
220,6,250,16.7,1016.6,73.4,1,1,1
140,4,250,19.6,1016.8,59.9,1,1,1
220,8,250,17.3,1016.9,70.1,1,1,1
230,10,250,17.3,1016.9,72.1,1,1,1
220,10,250,17.6,1016.7,68.6,1,1,1
220,8,250,17.8,1016.5,71.5,1,1,1
210,8,250,17.3,1016.4,67.3,1,1,1
230,6,250,17.8,1016.1,67.8,1,1,1
210,5,250,17.1,1015.7,65.2,1,1,1
220,4,250,15.2,1015.4,73.2,1,1,1
260,2,150,16.9,1015.4,65.9,1,1,1
250,2,250,14.0,1015.3,75.4,1,0,1
230,1,250,13.7,1015.5,80.6,1,0,1
70,5,250,13.9,1015.5,81.8,1,0,1
70,4,250,14.8,1015.3,74.9,1,0,1
70,4,150,15.0,1015.1,76.1,1,0,1
60,3,150,15.0,1015.1,77.2,1,0,1
80,4,200,14.9,1014.7,79.2,1,0,1
80,4,60,14.8,1014.7,80.2,1,0,1
70,5,60,14.6,1014.3,81.2,1,0,1
70,7,60,14.4,1014.0,75.7,1,0,1
70,4,60,14.2,1014.0,75.6,1,1,1
70,5,60,14.5,1014.1,75.8,1,1,1
90,7,100,15.5,1014.2,72.5,1,1,1
70,5,100,17.0,1014.1,68.9,1,1,1
100,6,150,16.5,1014.0,69.4,1,1,1
190,5,60,16.8,1014.0,72.6,1,1,1
200,6,60,18.1,1013.8,69.9,1,1,1
220,7,60,15.3,1013.6,76.4,1,1,1
220,7,60,15.5,1013.4,77.6,1,1,1
210,8,60,14.7,1013.2,81.3,1,1,1
200,8,60,13.8,1013.2,86.2,1,1,1
210,7,60,13.3,1013.4,89.5,1,1,1
270,3,10,12.9,1013.3,92.9,1,1,1
260,2,5,12.8,1013.3,96.4,1,1,1
210,3,20,12.7,1013.4,95.2,1,0,1
220,4,20,12.4,1013.5,96.4,1,0,1
270,3,30,12.3,1013.4,95.1,1,0,1
350,2,20,12.9,1013.3,95.2,1,0,1
280,2,60,12.8,1012.9,94.0,1,0,1
280,3,30,12.6,1013.0,96.4,1,0,1
290,3,30,12.8,1012.5,96.4,1,0,1
320,3,150,12.3,1012.4,95.1,1,0,1
300,1,60,11.8,1012.3,94.9,1,0,1
280,2,100,12.2,1012.3,96.3,1,0,1
0,0,100,13.3,1012.5,97.6,1,1,1
270,1,60,14.8,1012.5,92.2,1,1,1
210,3,150,15.8,1012.7,85.0,1,1,1
230,3,100,17.8,1012.5,77.2,1,1,1
210,5,60,16.8,1012.6,79.5,1,1,1
200,7,60,19.4,1012.4,73.8,1,1,1
210,6,60,16.0,1012.3,83.1,1,1,1
220,7,100,16.8,1012.2,80.5,1,1,1
190,8,100,17.6,1012.3,77.1,1,1,1
220,6,100,17.0,1012.2,78.6,1,1,1
210,5,100,15.9,1012.1,82.0,1,1,1
200,7,150,16.2,1011.7,82.2,1,1,1
200,4,100,16.1,1011.8,84.2,1,1,1
330,2,100,15.9,1011.8,83.0,1,1,1
340,4,100,15.7,1012.0,82.9,1,0,1
30,3,60,15.5,1012.3,83.9,1,0,1
100,4,30,15.2,1012.6,86.9,1,0,1
80,4,100,14.7,1012.5,86.7,1,0,1
90,6,100,13.7,1012.7,89.7,0,0,1
80,5,100,13.2,1012.5,90.6,0,0,1
70,5,100,13.2,1012.3,90.6,0,0,1
50,5,250,12.8,1012.0,92.8,0,0,1
60,7,250,13.3,1012.0,94.1,0,0,1
60,7,250,13.4,1012.0,94.1,0,0,1
60,8,200,14.7,1012.1,87.8,0,1,1
70,12,30,16.2,1012.0,80.1,0,1,1
60,13,250,18.0,1011.5,77.3,0,1,1
60,16,250,19.1,1011.5,68.2,0,1,1
50,12,250,18.4,1011.8,69.3,0,1,1
50,14,100,18.9,1011.4,65.3,0,1,1
50,14,150,20.6,1010.9,52.3,0,1,1
60,12,60,20.6,1010.3,64.5,0,1,1
60,11,60,21.1,1009.6,67.4,0,1,1
50,11,60,21.5,1008.8,64.6,0,1,1
10,7,60,19.3,1008.6,81.9,0,1,1
30,5,60,20.7,1007.9,78.2,0,1,1
50,9,150,21.7,1007.2,74.5,0,1,1
70,10,100,21.6,1006.8,72.8,0,1,1
70,12,100,20.5,1006.7,71.1,0,0,1
70,11,100,18.9,1006.8,76.2,0,0,1
70,11,150,18.4,1007.1,77.7,0,0,1
70,9,150,18.7,1006.6,77.9,0,0,1
110,9,60,17.6,1007.2,84.9,0,0,1
70,11,200,16.1,1005.9,89.4,0,0,1
90,13,250,14.7,1005.4,88.9,0,0,1
80,10,100,14.2,1005.6,92.0,0,0,1
90,10,10,14.1,1006.0,95.5,0,0,1
90,8,10,14.6,1006.5,95.5,0,0,1
100,10,5,14.7,1007.0,97.8,0,1,1
110,9,10,15.0,1007.5,96.7,0,1,1
120,11,20,15.7,1007.7,94.6,0,1,1
130,10,30,16.2,1008.0,91.5,0,1,1
150,11,20,18.0,1008.3,85.0,0,1,1
150,12,20,18.7,1008.8,80.7,0,1,1
140,6,30,20.2,1009.0,74.4,0,1,1
150,11,30,19.8,1009.0,73.2,0,1,1
140,10,250,20.3,1008.9,71.8,0,1,1
150,10,30,19.9,1009.1,75.9,0,1,1
150,8,150,19.3,1009.3,73.7,0,1,1
150,6,150,20.2,1009.1,72.6,0,1,1
150,8,60,18.8,1009.0,72.4,0,1,1
150,5,100,17.8,1009.2,79.2,0,1,1
